Date,OT,RV_5min,RV_10min,RV_30min
2008/1/2,0.000442811,8.64E-05,6.06E-05,2.65E-05
2008/1/3,0.000275186,7.27E-05,3.80E-05,1.90E-05
2008/1/4,0.000767399,0.000122263,6.08E-05,9.46E-06
2008/1/7,0.002702043,0.000462912,0.00024571,0.000120165
2008/1/8,0.001217109,0.000250434,8.06E-05,1.71E-05
2008/1/9,0.001765811,0.000382622,0.000239086,3.78E-05
2008/1/10,0.001045173,0.000202995,0.000113707,5.35E-05
2008/1/11,0.000805393,0.000194433,9.92E-05,3.21E-05
2008/1/14,0.000302363,6.75E-05,3.71E-05,6.93E-06
2008/1/15,0.001907398,0.000394444,0.000159237,7.58E-05
2008/1/16,0.002656673,0.000529697,0.000243439,8.44E-05
2008/1/17,0.00192993,0.000531516,0.000300854,0.00010381
2008/1/18,0.000867777,0.000137858,5.79E-05,1.17E-05
2008/1/22,0.002300559,0.000583631,0.000298994,0.000177604
2008/1/23,0.003213786,0.000401043,0.000242206,6.32E-05
2008/1/24,0.001582843,0.00028734,0.000134231,2.99E-05
2008/1/25,0.001120563,0.000199989,9.98E-05,6.21E-05
2008/1/28,0.001137572,0.000275196,0.000128299,6.10E-05
2008/1/29,0.000669992,0.000119653,5.05E-05,1.12E-05
2008/1/30,0.000916381,0.000214676,8.26E-05,9.64E-06
2008/1/31,0.000690267,0.000117321,5.56E-05,1.34E-05
2008/2/1,0.000522929,0.000101083,4.06E-05,9.94E-06
2008/2/4,0.000401694,7.42E-05,3.34E-05,1.49E-05
2008/2/5,0.000612946,9.08E-05,5.33E-05,3.03E-05
2008/2/6,0.0009953,0.000240123,0.000112725,2.94E-05
2008/2/7,0.001676712,0.00039511,0.000225866,6.71E-05
2008/2/8,0.000831805,0.00015907,8.05E-05,2.20E-05
2008/2/11,0.000417044,8.59E-05,4.94E-05,1.13E-05
2008/2/12,0.000520336,0.000136689,4.94E-05,2.05E-05
2008/2/13,0.00048023,8.15E-05,3.15E-05,9.69E-06
2008/2/14,0.00052254,9.37E-05,5.46E-05,7.01E-06
2008/2/15,0.000249556,8.62E-05,4.19E-05,2.34E-05
