Date,RV_1min,RV_5min,OT,RV_30min
2008/1/2,0.000813098,0.000167693,9.76E-05,3.09E-05
2008/1/3,0.00069419,0.000170406,0.000120122,9.23E-05
2008/1/4,0.000794561,0.000173116,6.35E-05,1.23E-05
2008/1/7,0.001634829,0.000450475,0.000195753,7.69E-05
2008/1/8,0.001364526,0.000230762,8.28E-05,4.37E-05
2008/1/9,0.001959224,0.000266753,0.000121334,2.48E-05
2008/1/10,0.001328446,0.00024779,0.000124053,5.19E-05
2008/1/11,0.000941309,0.000155946,7.26E-05,3.30E-05
2008/1/14,0.001283774,0.000347215,0.000166053,4.33E-05
2008/1/15,0.000822828,0.000202687,0.000120572,3.21E-05
2008/1/16,0.001359924,0.000238946,0.000135061,4.27E-05
2008/1/17,0.001292226,0.000202029,9.33E-05,4.85E-05
2008/1/18,0.001083827,0.000165471,7.58E-05,3.35E-05
2008/1/22,0.003022444,0.000532065,0.000317805,6.79E-05
2008/1/23,0.003649803,0.000509419,0.000350965,9.83E-05
2008/1/24,0.001590509,0.000282208,0.000131215,2.73E-05
2008/1/25,0.001386966,0.000284491,9.85E-05,5.03E-05
2008/1/28,0.001015719,0.000152494,9.94E-05,1.71E-05
2008/1/29,0.001012688,0.000250213,0.000171876,1.29E-05
2008/1/30,0.001895789,0.000375988,0.000177142,4.14E-05
2008/1/31,0.003135338,0.000520723,0.000243627,0.00010608
2008/2/1,0.001882514,0.000360921,0.000121071,4.43E-05
2008/2/4,0.00066208,0.000141975,8.93E-05,5.46E-05
2008/2/5,0.000725637,0.000144872,4.27E-05,9.46E-06
2008/2/6,0.000772115,0.000136872,6.10E-05,2.04E-05
2008/2/7,0.00188688,0.000373693,0.000171316,6.44E-05
2008/2/8,0.0008528,0.000200204,6.66E-05,2.48E-05
2008/2/11,0.000724592,0.000125544,3.42E-05,9.82E-06
2008/2/12,0.000599496,0.000109598,5.18E-05,9.98E-06
2008/2/13,0.001086881,0.000280533,9.00E-05,1.68E-05
2008/2/14,0.000722191,0.000181334,8.75E-05,1.62E-05
2008/2/15,0.000471359,9.66E-05,6.01E-05,3.09E-05
2008/2/19,0.000875489,0.000129066,7.13E-05,3.52E-05
2008/2/20,0.000776339,0.000141924,7.81E-05,3.54E-05
2008/2/21,0.000849491,0.000272696,0.000122773,5.42E-05
2008/2/22,0.000946297,0.000172086,5.69E-05,2.77E-05
2008/2/25,0.000734042,0.000199592,7.12E-05,4.20E-05
2008/2/26,0.001317146,0.000300529,0.000163698,1.70E-05
2008/2/27,0.000784661,0.000153702,9.14E-05,2.06E-05
2008/2/28,0.000853289,0.000187911,0.000105729,3.36E-05
2008/2/29,0.000821494,0.000144942,7.14E-05,3.01E-05
2008/3/3,0.001195946,0.000264092,0.000125438,1.95E-05
2008/3/4,0.001947992,0.000343422,0.000169749,2.67E-05
2008/3/5,0.000909305,0.00012151,8.15E-05,3.96E-05
2008/3/6,0.000695302,0.000152453,8.06E-05,4.17E-05
2008/3/7,0.001445572,0.000250517,0.000110138,3.30E-05
2008/3/10,0.001051188,0.000196373,9.49E-05,3.28E-05
2008/3/11,0.000987019,0.000249053,0.000110681,3.48E-05
2008/3/12,0.000792398,0.000193203,0.000124774,6.66E-05
2008/3/13,0.001361151,0.000388932,0.000182431,2.93E-05
2008/3/14,0.002255935,0.000411638,0.000209759,3.85E-05
2008/3/17,0.001983628,0.000502491,0.000291662,2.90E-05
2008/3/18,0.001216894,0.000244513,0.000133412,5.69E-05
2008/3/19,0.000924328,0.000200448,9.35E-05,2.03E-05
2008/3/20,0.0011888,0.000182287,9.97E-05,3.49E-05
2008/3/24,0.00070378,0.000176364,9.01E-05,2.02E-05
2008/3/25,0.000740447,0.000150914,0.00010255,7.88E-05
2008/3/26,0.000490467,0.000113034,5.21E-05,1.22E-05
2008/3/27,0.000671529,0.000162163,0.000114875,1.79E-05
2008/3/28,0.000938969,0.000401463,0.000356222,0.000315111
2008/3/31,0.000719261,0.000112925,5.27E-05,2.23E-05
2008/4/1,0.000867477,0.000185504,9.92E-05,4.30E-05
2008/4/2,0.000941474,0.000196874,7.29E-05,4.19E-05
2008/4/3,0.000700594,0.000105663,4.98E-05,1.32E-05
2008/4/4,0.00072713,0.000151957,7.26E-05,1.38E-05
2008/4/7,0.000491351,7.45E-05,4.18E-05,6.58E-06
2008/4/8,0.000548857,9.97E-05,6.33E-05,1.85E-05
2008/4/9,0.00059462,0.000125772,5.79E-05,3.42E-05
2008/4/10,0.000519783,0.000139803,9.38E-05,1.91E-05
2008/4/11,0.000410213,9.86E-05,4.72E-05,2.78E-05
2008/4/14,0.000632991,0.000109332,7.25E-05,1.11E-05
2008/4/15,0.000453771,0.000128487,5.16E-05,2.26E-05
2008/4/16,0.000486793,0.000140672,8.73E-05,1.45E-05
2008/4/17,0.000370659,8.08E-05,4.83E-05,1.62E-05
2008/4/18,0.000995915,0.00020637,0.000134906,1.31E-05
2008/4/21,0.000506729,9.12E-05,4.06E-05,2.42E-05
2008/4/22,0.000393578,9.58E-05,4.01E-05,5.91E-06
2008/4/23,0.000750194,0.000192094,7.83E-05,1.61E-05
2008/4/24,0.001010055,0.000197701,0.000118862,8.20E-05
2008/4/25,0.000716837,0.000100458,3.64E-05,7.14E-06
2008/4/28,0.000475474,5.99E-05,3.12E-05,3.85E-06
2008/4/29,0.000406016,0.000107063,5.04E-05,2.58E-05
2008/4/30,0.000516984,0.000119788,5.65E-05,1.88E-05
2008/5/1,0.000418512,7.22E-05,3.91E-05,1.16E-05
2008/5/2,0.000697865,0.000190546,7.02E-05,3.75E-05
2008/5/5,0.000364281,7.02E-05,3.47E-05,8.83E-06
2008/5/6,0.000451545,8.11E-05,4.38E-05,2.29E-05
2008/5/7,0.000444773,9.95E-05,4.12E-05,1.22E-05
2008/5/8,0.00073991,0.000183501,9.60E-05,4.43E-05
2008/5/9,0.000389983,6.02E-05,3.13E-05,1.48E-05
2008/5/12,0.000449259,9.80E-05,7.02E-05,1.06E-05
2008/5/13,0.000353607,4.97E-05,2.62E-05,4.66E-06
2008/5/14,0.000396431,8.47E-05,6.28E-05,1.47E-05
2008/5/15,0.000633027,0.000157011,0.000117057,6.85E-05
2008/5/16,0.000433773,0.000119165,6.49E-05,2.27E-05
2008/5/19,0.000899737,0.00022159,0.000128101,2.58E-05
2008/5/20,0.000450205,0.00013374,4.14E-05,1.15E-05
2008/5/21,0.000586319,0.00013249,8.42E-05,3.40E-05
2008/5/22,0.000613376,0.000108431,4.98E-05,3.62E-05
2008/5/23,0.0003675,0.000107438,5.76E-05,3.42E-05
2008/5/27,0.000577675,9.56E-05,5.45E-05,1.35E-05
2008/5/28,0.000515707,7.96E-05,3.15E-05,7.27E-06
2008/5/29,0.000375171,7.36E-05,5.01E-05,2.75E-05
2008/5/30,0.000139727,2.70E-05,1.85E-05,6.74E-06
2008/6/2,0.000209455,4.27E-05,1.84E-05,1.10E-05
2008/6/3,0.000377549,6.16E-05,3.76E-05,2.30E-05
2008/6/4,0.00035441,7.03E-05,3.79E-05,8.60E-06
2008/6/5,0.000505513,6.00E-05,3.40E-05,1.25E-05
