Date,RV_1min,RV_5min,RV_10min,OT
2008/1/2,0.000169893,3.55E-05,1.55E-05,7.48E-06
2008/1/3,9.61E-05,2.28E-05,1.38E-05,7.20E-06
2008/1/4,0.000174939,3.55E-05,1.87E-05,5.83E-06
2008/1/7,0.000386263,7.43E-05,4.04E-05,1.76E-05
2008/1/8,0.000263334,5.21E-05,2.94E-05,1.19E-05
2008/1/9,0.000444397,7.38E-05,4.86E-05,1.38E-05
2008/1/10,0.000413425,6.58E-05,3.20E-05,1.36E-05
2008/1/11,0.000255333,6.22E-05,3.14E-05,1.22E-05
2008/1/14,0.000125273,2.50E-05,1.75E-05,3.23E-06
2008/1/15,0.000253394,7.17E-05,3.53E-05,7.01E-06
2008/1/16,0.000394946,7.31E-05,2.59E-05,7.37E-06
2008/1/17,0.000455993,0.000101475,6.70E-05,3.75E-05
2008/1/18,0.000439248,8.78E-05,5.44E-05,2.26E-05
2008/1/22,0.000721067,0.000177439,0.00010478,3.08E-05
2008/1/23,0.000818536,0.000107733,5.63E-05,2.00E-05
2008/1/24,0.000337475,6.74E-05,2.07E-05,9.45E-06
2008/1/25,0.000316112,5.77E-05,2.61E-05,1.60E-05
2008/1/28,0.000241979,5.21E-05,2.91E-05,1.23E-05
2008/1/29,0.000173143,3.05E-05,1.64E-05,1.70E-06
2008/1/30,0.000384739,0.000163124,2.53E-05,4.75E-06
2008/1/31,0.000323648,6.18E-05,2.85E-05,1.19E-05
2008/2/1,0.00022664,5.23E-05,1.72E-05,7.12E-06
2008/2/4,0.000127711,2.61E-05,1.36E-05,7.28E-06
2008/2/5,0.00018528,3.76E-05,1.79E-05,6.11E-06
2008/2/6,0.000222907,5.72E-05,2.98E-05,1.02E-05
2008/2/7,0.000422314,8.98E-05,4.46E-05,2.34E-05
2008/2/8,0.000260053,4.38E-05,1.87E-05,3.74E-06
2008/2/11,0.000129788,2.95E-05,1.61E-05,8.61E-06
2008/2/12,0.000125281,3.15E-05,1.32E-05,3.10E-06
2008/2/13,0.000137845,3.01E-05,1.79E-05,1.03E-05
2008/2/14,0.000156351,3.19E-05,1.54E-05,3.87E-06
2008/2/15,0.000108688,3.81E-05,2.38E-05,1.08E-05
2008/2/19,0.000142202,2.71E-05,1.62E-05,9.14E-06
2008/2/20,0.000206357,4.19E-05,2.24E-05,8.89E-06
2008/2/21,0.000154729,5.45E-05,3.14E-05,1.33E-05
2008/2/22,0.000218313,5.12E-05,1.84E-05,8.55E-06
2008/2/25,0.000247602,6.41E-05,1.76E-05,1.30E-05
2008/2/26,0.000211444,5.40E-05,2.52E-05,8.08E-06
2008/2/27,0.000176025,3.07E-05,2.01E-05,5.07E-06
2008/2/28,0.000146923,3.66E-05,1.55E-05,6.36E-06
2008/2/29,0.000161191,3.37E-05,2.07E-05,1.02E-05
2008/3/3,0.000176406,3.44E-05,1.47E-05,6.45E-06
2008/3/4,0.000299621,5.68E-05,2.14E-05,4.12E-06
2008/3/5,0.000232328,5.04E-05,3.01E-05,2.11E-05
2008/3/6,0.00017227,4.48E-05,2.57E-05,1.65E-05
2008/3/7,0.000328817,5.38E-05,2.38E-05,7.09E-06
2008/3/10,0.00020016,4.14E-05,2.72E-05,1.10E-05
2008/3/11,0.000205534,4.35E-05,2.12E-05,4.81E-06
2008/3/12,0.000167252,3.33E-05,1.91E-05,8.16E-06
2008/3/13,0.000385246,8.45E-05,4.35E-05,1.32E-05
2008/3/14,0.000710566,0.000224995,9.74E-05,4.45E-05
2008/3/17,0.000384949,0.000107933,4.06E-05,1.84E-05
2008/3/18,0.000308225,6.52E-05,3.78E-05,5.29E-06
2008/3/19,0.000219517,4.62E-05,2.93E-05,9.89E-06
2008/3/20,0.000162894,3.94E-05,2.69E-05,1.46E-05
2008/3/24,0.000130218,2.56E-05,1.62E-05,6.67E-06
2008/3/25,0.000146155,2.67E-05,1.44E-05,6.00E-06
2008/3/26,0.000130077,3.59E-05,1.53E-05,6.26E-06
2008/3/27,0.000154389,3.23E-05,1.83E-05,3.10E-06
2008/3/28,0.000116674,2.81E-05,1.48E-05,2.19E-06
2008/3/31,0.000127333,2.72E-05,1.54E-05,3.28E-06
2008/4/1,8.77E-05,2.17E-05,1.09E-05,5.56E-06
2008/4/2,0.000110489,2.38E-05,1.05E-05,5.50E-06
2008/4/3,0.000116223,2.71E-05,1.44E-05,6.92E-06
2008/4/4,0.000115506,1.96E-05,8.78E-06,2.13E-06
2008/4/7,8.38E-05,1.44E-05,9.87E-06,4.93E-06
2008/4/8,8.76E-05,2.66E-05,2.10E-05,1.07E-05
2008/4/9,9.85E-05,2.28E-05,1.27E-05,5.60E-06
2008/4/10,9.99E-05,1.95E-05,1.03E-05,4.94E-06
2008/4/11,9.17E-05,2.14E-05,8.94E-06,4.64E-06
2008/4/14,9.73E-05,1.68E-05,8.17E-06,1.44E-06
2008/4/15,8.78E-05,1.49E-05,1.00E-05,2.89E-06
2008/4/16,7.75E-05,1.91E-05,1.25E-05,4.57E-06
2008/4/17,7.86E-05,1.95E-05,1.47E-05,6.84E-06
2008/4/18,6.30E-05,1.13E-05,7.40E-06,1.86E-06
2008/4/21,5.09E-05,1.46E-05,5.68E-06,2.86E-06
2008/4/22,9.84E-05,1.47E-05,7.74E-06,1.86E-06
2008/4/23,8.43E-05,2.05E-05,1.11E-05,3.23E-06
2008/4/24,0.00015056,5.19E-05,2.78E-05,1.27E-05
2008/4/25,0.000121711,3.17E-05,1.48E-05,3.29E-06
2008/4/28,5.57E-05,1.45E-05,7.24E-06,2.24E-06
2008/4/29,7.59E-05,2.24E-05,1.22E-05,6.17E-06
2008/4/30,0.000183196,2.84E-05,1.67E-05,4.45E-06
2008/5/1,0.000104351,2.25E-05,9.89E-06,3.70E-06
2008/5/2,0.000130127,2.80E-05,1.57E-05,7.55E-06
2008/5/5,8.01E-05,1.71E-05,9.38E-06,5.20E-06
2008/5/6,8.03E-05,1.42E-05,9.29E-06,2.87E-06
2008/5/7,0.000128982,2.50E-05,1.20E-05,4.78E-06
2008/5/8,0.00013925,3.62E-05,1.96E-05,6.03E-06
2008/5/9,8.01E-05,1.63E-05,6.03E-06,1.54E-06
2008/5/12,7.20E-05,1.86E-05,8.27E-06,1.64E-06
2008/5/13,7.26E-05,1.31E-05,6.24E-06,1.76E-06
2008/5/14,7.81E-05,1.46E-05,8.41E-06,2.11E-06
2008/5/15,9.63E-05,2.28E-05,1.32E-05,2.37E-06
2008/5/16,7.57E-05,2.40E-05,1.11E-05,4.87E-06
2008/5/19,0.000106409,2.22E-05,1.40E-05,2.97E-06
2008/5/20,0.000117751,2.92E-05,1.27E-05,3.42E-06
2008/5/21,0.000206294,4.14E-05,2.41E-05,1.32E-05
2008/5/22,0.00019077,4.36E-05,2.01E-05,7.24E-06
2008/5/23,0.000135783,2.25E-05,1.27E-05,2.71E-06
2008/5/27,9.73E-05,2.28E-05,6.95E-06,2.20E-06
2008/5/28,9.51E-05,1.81E-05,9.27E-06,4.27E-06
2008/5/29,0.000102905,2.61E-05,1.81E-05,1.15E-05
2008/5/30,5.07E-05,1.25E-05,4.91E-06,1.82E-06
2008/6/2,8.61E-05,1.67E-05,7.83E-06,3.74E-06
2008/6/3,0.000176301,4.90E-05,2.92E-05,2.10E-05
2008/6/4,0.00017023,3.38E-05,1.52E-05,8.75E-06
2008/6/5,7.87E-05,1.87E-05,6.12E-06,1.24E-06
2008/6/6,0.000142561,3.02E-05,2.49E-05,9.29E-06
2008/6/9,0.000287885,6.89E-05,2.98E-05,1.34E-05
2008/6/10,0.00019917,4.16E-05,2.20E-05,3.15E-06
2008/6/11,0.000159146,2.77E-05,1.55E-05,4.11E-06
2008/6/12,0.000189849,4.17E-05,1.87E-05,4.48E-06
2008/6/13,0.00020665,6.51E-05,2.34E-05,6.86E-06
2008/6/16,0.000129048,3.18E-05,1.49E-05,4.51E-06
2008/6/17,0.000113772,2.03E-05,6.74E-06,1.93E-06
2008/6/18,0.000121437,2.91E-05,1.39E-05,6.17E-06
2008/6/19,0.000219705,3.52E-05,2.31E-05,1.01E-05
2008/6/20,0.000165908,2.41E-05,1.00E-05,4.66E-06
2008/6/23,0.000171386,3.25E-05,1.25E-05,2.80E-06
2008/6/24,0.000172378,3.72E-05,2.37E-05,1.06E-05
2008/6/25,0.000207583,4.17E-05,2.61E-05,1.65E-05
2008/6/26,0.000220251,5.16E-05,2.74E-05,9.23E-06
2008/6/27,0.000293022,5.55E-05,2.74E-05,8.31E-06
2008/6/30,0.000183209,4.99E-05,1.69E-05,6.98E-06
2008/7/1,0.000321637,7.68E-05,4.66E-05,2.99E-05
2008/7/2,0.000230461,3.80E-05,1.93E-05,1.14E-05
2008/7/3,0.000197548,4.50E-05,2.76E-05,2.64E-05
2008/7/7,0.000282433,5.01E-05,3.23E-05,1.86E-05
2008/7/8,0.000314815,5.07E-05,2.90E-05,4.85E-06
2008/7/9,0.000215645,5.10E-05,2.76E-05,8.46E-06
2008/7/10,0.000437611,8.04E-05,2.64E-05,1.60E-05
2008/7/11,0.000514332,7.20E-05,4.05E-05,1.05E-05
2008/7/14,0.000332473,8.48E-05,4.10E-05,1.58E-05
2008/7/15,0.000521528,0.000119042,5.32E-05,2.88E-05
2008/7/16,0.000260073,5.87E-05,2.51E-05,1.17E-05
2008/7/17,0.000193681,3.85E-05,1.59E-05,5.00E-06
2008/7/18,0.000153209,3.09E-05,2.46E-05,9.15E-06
2008/7/21,0.000122037,2.12E-05,9.70E-06,4.06E-06
2008/7/22,0.000154059,3.35E-05,1.21E-05,2.66E-06
2008/7/23,0.000233826,6.60E-05,3.55E-05,5.26E-06
2008/7/24,0.000169439,5.16E-05,2.91E-05,7.90E-06
2008/7/25,0.000177084,4.67E-05,3.25E-05,2.58E-05
2008/7/28,0.000141112,3.06E-05,7.21E-06,3.69E-06
2008/7/29,0.000182701,3.31E-05,1.84E-05,1.20E-05
2008/7/30,0.000150713,3.84E-05,2.39E-05,1.20E-05
2008/7/31,0.000180541,3.93E-05,1.65E-05,2.09E-06
2008/8/1,0.000250086,4.10E-05,2.11E-05,1.22E-05
2008/8/4,0.000164435,2.64E-05,1.49E-05,3.71E-06
2008/8/5,0.000123661,2.25E-05,1.03E-05,3.52E-06
2008/8/6,0.000114528,2.93E-05,1.52E-05,6.33E-06
2008/8/7,0.000127178,3.09E-05,1.28E-05,6.77E-06
2008/8/8,0.000120883,2.36E-05,1.36E-05,2.01E-06
2008/8/11,0.000118047,2.10E-05,1.14E-05,3.20E-06
2008/8/12,0.000135974,2.09E-05,1.34E-05,4.02E-06
2008/8/13,0.000155297,3.12E-05,1.33E-05,4.90E-06
2008/8/14,0.000106598,1.89E-05,4.42E-06,1.35E-06
2008/8/15,0.000110951,2.59E-05,1.29E-05,2.44E-06
2008/8/18,0.000129577,2.92E-05,1.49E-05,5.23E-06
2008/8/19,0.000128453,2.84E-05,2.12E-05,1.14E-05
2008/8/20,0.000170507,5.63E-05,1.96E-05,4.77E-06
2008/8/21,0.000118516,1.65E-05,8.43E-06,1.95E-06
2008/8/22,8.37E-05,1.99E-05,1.21E-05,6.74E-06
2008/8/25,0.000105208,2.39E-05,1.36E-05,6.29E-06
2008/8/26,9.74E-05,2.56E-05,1.23E-05,6.50E-06
2008/8/27,8.32E-05,1.97E-05,1.12E-05,3.32E-06
2008/8/28,8.31E-05,1.96E-05,9.02E-06,5.01E-06
2008/8/29,8.66E-05,1.66E-05,8.86E-06,3.20E-06
2008/9/2,0.000159785,3.74E-05,1.96E-05,1.74E-06
2008/9/3,0.000189249,4.23E-05,2.19E-05,8.86E-06
2008/9/4,0.000157151,3.58E-05,1.10E-05,5.82E-06
2008/9/5,0.000291816,8.09E-05,4.52E-05,2.23E-05
2008/9/8,0.000558536,0.000141151,6.88E-05,2.51E-05
2008/9/9,0.000286394,4.87E-05,3.03E-05,1.14E-05
2008/9/10,0.000252661,4.27E-05,1.95E-05,1.15E-05
2008/9/11,0.000368909,0.000122847,9.50E-05,6.84E-05
2008/9/12,0.00027633,6.58E-05,2.72E-05,1.04E-05
2008/9/15,0.0004481,0.000124753,7.09E-05,2.92E-05
2008/9/16,0.000686072,0.000172646,7.09E-05,2.03E-05
2008/9/17,0.000605303,0.000146767,5.75E-05,1.97E-05
2008/9/18,0.003273597,0.000180625,9.62E-05,2.40E-05
